Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoFK,ShoPK,PKatt,PasTotAtt,PasTotCmp%,PasShoAtt,PasShoCmp%,PasMedAtt,PasMedCmp%,PasLonAtt,PasLonCmp%,Assists,PPA,CrsPA,PasProg,PasAtt,PasCrs,TI,CK,PasCmp,SCA,GCA,Tkl,TklWon,TklDri%,TklDriPast,BlkSh,Int,Clr,Touches,ToAtt,ToSuc,ToSuc%,ToTkl,Carries,CarProg,Car3rd,Rec,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Recov,AerWon,AerLost,AerWon%
Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,20,1596,1,1.53,0.28,18.5,0.04,0.11,0,0,31,74.9,16.2,81.9,7.74,76.6,2.37,38.1,0.11,0.45,0.11,3.22,31,2.54,0.23,1.47,23.2,3.62,0.28,1.64,0.51,34.6,0.96,0.11,0.06,0.28,44,3.73,1.19,31.8,1.75,26.7,1.53,1.07,30.2,0.11,0,0.62,2.26,0.17,2.54,0.51,0,0,4.86,0.34,1.19,22.2
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,1980,0,0.86,0.05,5.3,0,0,0,0,47.2,81.5,12.9,84.5,25.7,90.1,7,53.9,0.05,0.09,0,4.5,47.2,0.18,0.09,0,38.5,1.14,0.18,2.5,1.59,78.4,0.36,0.77,2,2.91,59.2,0.68,0.32,46.7,0.36,40,0.55,0.23,34.5,0.09,0,1.32,0.5,0.05,0.18,1.59,0,0,6.64,2.18,1.23,64
Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,1999,14,770,0,1.05,0.35,33.3,0,0,0,0,49.5,80.8,22,84.1,18.7,82.6,5.93,74.5,0,1.74,0.35,6.4,49.5,1.05,0.81,0,40,2.67,0,2.91,1.4,60.9,1.05,0.12,0.93,0.93,62.6,3.84,2.09,54.5,1.51,48.5,2.56,2.56,43.4,0.12,0,1.74,1.28,0,1.05,1.4,0,0,8.14,0.93,1.05,47.1
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,20,1799,1,0.6,0.15,25,0.08,0,0,0,64.9,91.6,31.8,93.2,26.2,94.3,4.3,77.9,0,0.55,0.1,5.6,64.9,0.35,0.1,0,59.5,1.6,0,1.5,0.8,65.4,0.45,0.35,1.1,0.8,73.3,1.25,0.7,56,0.4,61,1.25,1.95,56.5,0.15,0,2.45,1.35,0,0.35,0.8,0,0,6.6,0.5,0.5,50
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,15,1165,0,0.31,0,0,0,0,0,0,43.4,87.3,19.4,92.4,17.8,88.6,3.95,66.7,0.08,0.39,0,5.04,43.4,0.23,0,0,37.9,1.24,0.08,3.8,2.02,40.5,1.94,0.23,1.16,1.55,54.7,0.93,0.54,58.3,0.31,41,0.47,0.93,36.4,0.16,0,0.93,1.01,0,0.23,2.02,0,0,6.51,0.31,0.39,44.4
Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,1,11,0,0,0,0,0,0,0,0,30,66.7,10,100,10,100,10,0,0,0,0,0,30,0,0,0,20,0,0,10,10,0,0,0,0,0,50,0,0,0,0,10,0,0,10,0,0,0,0,0,0,10,0,0,10,0,10,0
Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,2003,5,185,1,4.29,1.43,33.3,0.11,0,0,0,10,71.4,2.38,60,5.24,90.9,0.95,50,0,1.43,0.48,1.9,10,0.95,0,0,7.14,0.48,0,1.43,0.48,0,0.95,0,0.48,0.48,25.7,1.43,0.48,33.3,0.95,17.1,1.43,0,19,0,0,0.95,1.43,0.48,0.95,0.48,0,0,0.48,1.43,1.43,50
Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,11,107,1,5,1.67,33.3,0.17,0,0,0,12.5,46.7,5,50,3.33,75,0.83,100,0,0.83,0,1.67,12.5,1.67,0,0,5.83,5.83,1.67,0.83,0.83,100,0,0,1.67,0.83,30.8,0,0,0,0,22.5,3.33,0.83,22.5,0,0,2.5,4.17,0.83,1.67,0.83,0.83,0,1.67,0.83,3.33,20
Abner,BRA,DF,Betis,La Liga,22,2000,4,272,0,0.67,0.33,50,0,0,0,0,54.3,71.8,23.3,88.6,20,66.7,5.67,41.2,0,0.33,0,3.33,54.3,1.33,11.3,0,39,1,0.33,2.67,2.33,85.7,0.33,0.67,2,2.67,65.7,1.33,0.33,25,1,30.3,0.67,0.67,35,0,0,0.67,0.67,0,1.33,2.33,0,0,6,1,2,33.3
Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,22,1507,5,2.75,1.02,37,0.11,0,0,0,25.3,69.7,14.9,79,6.17,71.8,0.84,28.6,0.24,0.42,0.06,1.8,25.3,0.96,0.78,0,17.6,2.34,0.24,1.14,0.72,22.7,1.02,0.06,0.84,0.66,38,3.17,1.02,32.1,1.86,28.6,3.05,1.08,27.1,0.18,0,1.56,1.8,0.72,0.96,0.72,0,0,4.43,0.42,1.32,24.1
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,22,1582,6,2.67,1.25,46.8,0.13,0,0,0,20.1,68.6,10.4,78.1,6.42,62.8,1.31,69.6,0.17,0.63,0.06,2.1,20.1,0.28,0.06,0,13.7,3.07,0.51,0.74,0.4,33.3,0.45,0.23,0.17,0.45,31.6,3.01,0.8,26.4,1.7,16.8,1.42,0.97,24.5,0.06,0,1.31,2.05,0.51,0.28,0.4,0.06,0,1.87,2.56,2.39,51.7
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,14,1110,0,0.49,0,0,0,0,0,0,58.9,87.7,20.5,92.1,28.6,90.1,8.13,74,0.08,0.24,0,3.58,58.9,0.24,0.57,0,51.7,0.98,0,1.3,0.57,83.3,0.16,0.33,0.98,3.33,67.2,0.16,0,0,0.08,36.7,1.06,0.89,44.2,0.24,0,0.73,0.73,0.08,0.24,0.57,0,0,4.96,2.76,1.63,63
Mohamed Achi,FRA,FW,Nantes,Ligue 1,21,2002,2,36,0,2.5,0,0,0,0,0,0,52.5,8.57E+01,17.5,100,30,83.3,2.5,0,0,0,0,7.5,52.5,2.5,0,2.5,45,2.5,0,2.5,2.5,100,0,0.00E+00,0,0,62.5,2.5,0,0,2.5,52.5,5,5,47.5,0,0,5,0,0,2.5,2.5,0,0,5,0,0,0
Marcos Acuna,ARG,DF,Sevilla,La Liga,31,1991,16,985,2,1.47,0.37,25,0.13,0.09,0,0,62.9,73.9,24.8,89.3,22.4,77,13.3,48.3,0.09,2.2,1.1,4.77,62.9,7.61,8.07,1.93,46.5,3.03,0.18,3.3,1.74,71.4,0.73,0.46,1.47,1.28,74.4,2.11,0.64,30.4,1.1,40.4,2.02,1.56,43.9,0.46,0.09,1.65,1.65,0.09,7.61,1.74,0,0.09,7.52,1.19,0.92,56.5
Che Adams,SCO,FW,Southampton,Premier League,26,1996,21,1577,4,2.06,0.74,36.1,0.11,0,0,0,22.2,65.8,12.5,74.3,4.97,63.2,1.77,71,0.11,0.57,0.11,1.31,22.2,0.51,0.23,0,14.6,2.63,0.29,0.86,0.69,77.8,0.11,0.17,0.23,1.03,32.6,1.43,0.63,44,0.63,18,0.69,0.51,25,0,0,1.77,1.03,0.4,0.51,0.69,0,0,2.29,2.97,5.03,37.1
Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,19,1706,0,0.11,0,0,0,0,0,0,57.4,82,29.2,87.9,19.9,84.7,4.74,60,0,0.63,0,5.84,57.4,0.11,0.68,0,47.1,1.84,0.05,4.11,2,70,0.95,0.32,1.42,1.16,69.4,0.89,0.16,17.6,0.58,35.2,0.68,1,39.6,0.26,0.05,1.74,1.05,0.05,0.11,2,0,0,8.68,0.89,0.63,58.6
Sargis Adamyan,ARM,FWMF,K�ln,Bundesliga,29,1993,16,471,1,3.46,1.73,50,0.06,0,0,0,25,72.3,10.6,85.5,10,73.1,2.31,66.7,0.19,1.92,0.38,3.65,25,1.92,1.15,0,18.1,3.27,0.38,1.92,1.15,40,1.15,0,0.38,0.58,42.7,4.04,0.77,19,2.69,24,1.54,0.96,27.7,0.38,0,2.31,0.77,0.58,1.92,1.15,0,0,5.38,1.54,3.85,28.6
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,14,1095,1,0.33,0.16,50,0.25,0,0,0,48.5,80.1,11,87.3,28.4,88.5,7.79,48.4,0,0.16,0,2.95,48.5,0.08,0.33,0,38.9,0.41,0,1.07,0.41,66.7,0.25,0.66,1.07,5.33,58.1,0.25,0.16,66.7,0.08,28.9,0.49,0.66,35,0.16,0,0.66,0.25,0,0.08,0.41,0,0,4.67,2.13,0.41,83.9
Martin Adeline,FRA,MFFW,Reims,Ligue 1,19,2003,5,107,0,0.83,0,0,0,0,0,0,34.2,70.7,15,66.7,11.7,78.6,2.5,33.3,0,0,0,2.5,34.2,0,0.83,0.83,24.2,1.67,0,2.5,2.5,75,0.83,0.83,2.5,2.5,49.2,2.5,0.83,33.3,1.67,25.8,0.83,0,22.5,1.67,0,4.17,0,0,0,2.5,0,0,9.17,5,4.17,54.5
Karim Adeyemi,GER,FWMF,Dortmund,Bundesliga,21,2002,15,765,2,2.24,0.94,42.1,0.11,0,0,0,32.9,73.6,18,83,8.12,78.3,1.76,40,0.12,1.29,0,2.94,32.9,1.76,0.47,0.59,24.2,3.65,0.59,1.18,0.71,33.3,1.41,0,0.71,0.12,48.1,5.41,1.53,28.3,2.71,31.3,2.35,2.12,33.5,0.59,0,1.29,2,0,1.76,0.71,0,0,4.94,0.82,0.24,77.8
Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,2000,13,652,1,1.94,0.69,35.7,0.07,0,0,0,33.1,79.4,19.4,82.9,8.06,91.4,2.08,60,0.28,0.56,0,3.47,33.1,0.83,0.42,0.56,26.3,2.64,0.42,1.53,1.11,37.5,0.69,0.28,0.42,0.56,48.3,2.64,1.11,42.1,1.25,27.8,2.5,1.39,36.1,0.14,0,3.33,2.78,0.28,0.83,1.11,0,0,3.75,1.53,2.22,40.7
Yacine Adli,FRA,MFFW,Milan,Serie A,22,2000,4,116,0,1.54,1.54,100,0,0,0,0,46.2,63.3,18.5,79.2,13.8,66.7,8.46,45.5,0,1.54,0,6.15,46.2,3.08,0.77,0,29.2,0.77,0,4.62,2.31,100,0,0,0.77,0.77,60,0.77,0.77,100,0,33.8,3.85,3.08,44.6,0.77,0,2.31,0.77,0,3.08,2.31,0,0,3.85,0,2.31,0
Michel Aebischer,SUI,FWMF,Bologna,Serie A,26,1997,18,775,1,1.16,0.23,20,0.1,0.12,0,0,39.8,81.9,20.1,89.6,13.3,86,3.84,60.6,0,0.12,0,2.56,39.8,1.05,0.58,0.23,32.6,2.21,0.23,0.47,0.12,20,0.47,0.23,0.35,0.7,47.2,0.47,0.12,25,0.35,27.7,0.81,0.7,35.8,0.35,0,1.16,1.63,0.58,1.05,0.12,0.12,0.12,5,0.58,1.05,35.7
Felix Afena-Gyan,GHA,FWMF,Cremonese,Serie A,20,2003,12,359,0,2.5,0.25,10,0,0,0,0,22.5,78.9,13.8,89.1,5,80,1.25,60,0,0,0,1.5,22.5,0.75,0.5,0,17.8,1.75,0,1,0.5,100,0,0,0,0.75,34.3,2,0.5,25,1,22.3,3.5,1.25,24.8,0.25,0,2,1,1,0.75,0.5,0,0,4.25,2,4,33.3
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,19,1599,0,0.79,0.11,14.3,0,0,0,0,50.8,85.4,14.7,88.9,25.1,91.7,9.83,69.1,0.11,0.45,0,3.31,50.8,0,0.11,0,43.4,1.18,0.17,2.58,1.63,68.3,0.73,0.51,1.18,4.33,62.3,0.39,0.22,57.1,0.17,43.5,0.62,0.67,37,0.11,0.11,1.01,0.28,0,0,1.63,0,0,8.2,1.85,1.35,57.9
Lucien Agoume,FRA,MF,Troyes,Ligue 1,21,2002,5,286,0,0.31,0,0,0,0,0,0,57.2,83.1,24.1,87,21.3,86.8,8.75,71.4,0,0.94,0.31,5.94,57.2,0.94,0.31,0.31,47.5,1.56,0,4.38,2.19,71.4,0.63,0.31,1.88,1.25,69.7,1.56,0.63,40,0.31,52.5,1.25,1.88,48.8,0.63,0,2.19,1.56,0.31,0.94,2.19,0,0,5.63,3.13,0.63,83.3
Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,23,1999,3,49,0,2,0,0,0,0,0,0,50,64,10,80,20,90,12,33.3,0,2,0,4,50,2,12,0,32,8,0,2,0,0,0,2,0,0,66,6,0,0,4,38,0,4,38,0,0,6,6,0,2,0,0,2,6,2,2,50
Alvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,19,1130,0,0.71,0.16,22.2,0,0,0,0,53.3,83,19,88.3,20.2,87.5,11.7,73,0.16,0.48,0.08,6.51,53.3,2.22,0.24,1.27,44.2,3.17,0.32,0.95,0.48,64.3,0.4,0.24,0.63,0.56,59.8,1.03,0.48,46.2,0.24,38.8,1.35,1.9,42.6,0.16,0,0.48,1.27,0,2.22,0.48,0,0.08,5.71,0.95,1.03,48
Kevin Agudelo,COL,MFFW,Spezia,Serie A,24,1998,21,1443,0,1.13,0.31,27.8,0,0,0,0,27.8,70.6,13.9,79.4,8.31,76.7,2.19,54.3,0,1,0.06,4.31,27.8,1.31,0.25,0.31,19.6,1.88,0.13,2.94,1.38,40.9,1.63,0.25,0.44,0.13,41.8,3.38,1.38,40.7,1.63,23.9,2.88,2.38,25.4,0.13,0,1.63,1.75,0.13,1.31,1.38,0,0,5.69,0.56,1.25,31
Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,6,515,0,0.88,0,0,0,0,0,0,39.5,78.2,10.9,91.9,19.5,84.7,8.07,50,0,0.35,0,1.58,39.5,0,0,0,30.9,0.18,0,2.28,1.58,77.8,0.35,1.05,1.05,4.39,50.5,0.18,0.18,100,0,27.7,0.18,0,30.2,0.53,0,0.7,0.7,0.18,0,1.58,0,0,5.26,1.75,1.05,62.5
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13,615,0,0.29,0.29,100,0,0,0,0,58.7,81.7,28.1,89,22.2,84.8,5.15,54.3,0,1.03,0.29,6.47,58.7,1.76,9.56,0,47.9,1.18,0.29,1.91,0.74,38.5,1.18,0,1.91,2.79,69.3,0.74,0.44,60,0.15,42.9,1.47,0.88,39.7,0.29,0,1.47,1.03,0,1.76,0.74,0,0,5.29,0.74,1.32,35.7
Naouirou Ahamada,FRA,MFFW,Crystal Palace,Premier League,20,2002,2,16,0,5,0,0,0,0,0,0,70,71.4,30,83.3,35,71.4,0,0,0,0,0,5,70,5,0,0,50,5,0,0,0,0,0,0,0,0,85,5,5,100,0,40,5,0,55,0,0,0,0,5,5,0,0,0,10,0,0,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,17,1398,2,1.03,0.32,31.3,0.13,0,0,0,34.1,84.9,15.6,92.1,13.2,91.7,2.58,52.5,0.13,0.45,0.13,3.61,34.1,0.39,0.32,0,29,2.45,0.45,1.1,0.71,40,0.77,0.32,0.52,0.45,43.5,2.71,1.16,42.9,1.29,26.3,2.77,1.74,29.2,0.26,0.06,1.03,1.1,0.06,0.39,0.71,0,0.06,5.68,0.45,1.03,30.4
Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,1,20,0,0,0,0,0,0,0,0,50,60,25,60,20,50,0,0,0,0,0,5,50,0,0,0,30,0,0,5,5,0,5,0,5,0,90,5,5,100,0,60,0,5,60,0,0,5,5,0,0,5,0,0,10,0,15,0
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,19,834,1,0.97,0.32,33.3,0.11,0,0,0,36.3,71.9,16,79.2,13.4,70.4,4.09,55.3,0,0.65,0,2.26,36.3,0.43,0.11,0,26.1,1.4,0.11,2.04,1.4,44.4,1.08,0,1.83,0.75,49.7,2.69,1.08,40,1.18,35.3,1.51,1.18,31.6,0.32,0.11,2.58,1.72,0.11,0.43,1.4,0,0,5.27,1.51,1.4,51.9
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,20,1800,2,0.45,0.1,22.2,0.22,0,0,0,50.8,85.4,13.3,86.9,28.9,92.2,7.45,65.1,0,0.2,0,2.85,50.8,0,0.1,0,43.4,0.3,0,1.7,1.05,66.7,0.25,0.45,0.8,4.2,60.3,0.25,0.15,60,0.05,38.2,0.5,0.2,38.4,0.15,0,0.6,0.35,0,0,1.05,0,0.05,6.5,1.75,1.85,48.6
Ola Aina,NGA,DF,Torino,Serie A,26,1996,12,676,1,0.93,0.4,42.9,0.14,0,0,0,55.7,74.4,23.5,92.6,17.7,74.4,9.73,53.4,0.13,1.6,1.07,4.67,55.7,3.47,9.73,0.13,41.5,2.93,0.4,1.73,1.33,60,0.53,0.27,1.07,2.67,68.5,4.53,2.27,50,1.6,36.7,3.87,2.8,40.1,0.53,0,1.6,1.6,0.13,3.47,1.33,0,0.13,6.27,1.2,0.8,60
Rayan Ait Nouri,FRA,DF,Wolves,Premier League,21,2001,17,913,1,0.99,0.5,50,0.1,0,0,0,48.4,81.2,24.7,88.8,17.5,82.5,2.97,66.7,0,1.29,0.5,3.56,48.4,2.08,6.63,0.3,39.3,2.18,0,2.67,1.58,66.7,0.4,0,0.69,2.57,61.8,3.86,1.98,51.3,1.68,32.3,2.48,1.19,37.3,0.3,0,1.09,0.69,0.3,2.08,1.58,0,0.1,5.25,1.29,1.39,48.1
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,22,2000,15,1029,0,0.26,0.09,33.3,0,0,0,0,47.3,77,18.5,90.5,20.1,81.2,6.23,42.3,0,0.61,0.09,3.42,47.3,0.35,4.82,0,36.4,0.88,0,3.77,2.28,75,0.7,0.79,1.67,3.25,58.7,0.53,0.09,16.7,0.35,29,1.49,0.88,29.5,0.18,0,1.14,0.7,0,0.35,2.28,0,0,7.02,1.67,0.61,73.1
Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,9,763,0,0.12,0,0,0,0,0,0,40.6,75.1,18.7,82.4,15.1,79.7,4.71,57.5,0,0.35,0.12,3.65,40.6,0.71,5.18,0,30.5,0.47,0,1.29,0.94,56.3,0.82,0.59,0.82,2.59,48.5,0.82,0.12,14.3,0.47,25.2,1.18,0.59,27.2,0,0,0.59,0.94,0,0.71,0.94,0,0.12,4.24,1.76,1.29,57.7
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,13,771,1,2.56,0.81,31.8,0,0.12,0.12,0.12,29.7,69.8,15.9,75.2,9.19,69.6,1.86,68.8,0,0.7,0,1.51,29.7,0,0,0,20.7,2.56,0.23,0.58,0.47,33.3,0.7,0.12,0.23,0.81,39.1,0.47,0.23,50,0.23,26.2,0.23,0.81,30.5,0.12,0,1.63,0.93,0.12,0,0.47,0,0,2.44,5.81,3.84,60.2
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,28,1994,4,231,0,2.69,0.77,28.6,0,0,0,0,33.8,50,15.8,53.7,10.4,40.7,3.85,80,0.38,0.38,0,2.31,33.8,0.38,0,0,16.9,3.08,0,0,0,0,0.38,0,0,0.77,44.6,0.77,0.38,50,0.38,18.1,0.77,0,33.5,0.38,0,2.31,0.38,0.38,0.38,0,0,0,5,10,7.69,56.5
Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,15,1286,0,0.77,0.14,18.2,0,0,0,0,80.9,94.2,34.4,97.2,38.5,96.2,6.36,74.7,0.07,0.07,0.07,4.76,80.9,0.21,0.63,0,76.2,1.26,0,1.54,1.05,76.2,0.35,0.42,0.77,1.19,88.6,0.28,0.21,75,0.07,63.6,1.26,1.61,69.2,0.07,0,0.91,0.49,0,0.21,1.05,0,0,5.38,0.84,1.4,37.5
Nathan Ake,NED,DF,Manchester City,Premier League,27,1995,15,1156,0,0.31,0,0,0,0,0,0,92,91.5,41.8,95,42.3,93.7,5.55,67.6,0,0.39,0,7.34,92,0.39,4.14,0,84.2,1.17,0.16,1.25,0.55,70,0.23,0.47,1.02,1.64,98.4,0.23,0.16,66.7,0.08,63.8,1.09,0.7,76.2,0,0,0.7,0.7,0.08,0.39,0.55,0,0,5,1.72,1.33,56.4
Sergio Akieme,ESP,DF,Almer�a,La Liga,25,1997,21,1890,0,1.05,0.29,27.3,0,0,0,0,43.9,77.3,19.8,88.4,16.3,82.5,5.29,40.5,0,0.86,0.67,2.43,43.9,3,8.48,0,34,1.57,0.1,1.29,0.76,75,0.19,0.24,0.62,1.48,53.2,2.14,1.19,55.6,0.76,27.2,2.71,1.57,29.7,0.19,0,0.81,0.67,0,3,0.76,0,0,5.14,0.52,0.62,45.8
Maghnes Akliouche,FRA,MFDF,Monaco,Ligue 1,20,2002,6,248,0,0.36,0.36,100,0,0,0,0,37.9,7.45E+01,21.8,82,10.4,72.4,1.79,40,0,1.43,0,3.93,37.9,3.21,1.07,0.36,28.2,1.79,0,2.14,1.07,33.3,0.71,0.00E+00,0.71,0.71,47.9,2.14,0.71,33.3,1.43,38.2,1.79,1.07,35,1.07,0,1.79,1.07,0,3.21,1.07,0,0,6.43,0.71,1.07,40
Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,6,238,0,0.77,0.38,50,0,0,0,0,38.8,93.1,16.2,95.2,13.5,94.3,5.77,93.3,0,0.38,0,2.31,38.8,0,0,0,36.2,0.38,0,3.46,1.92,77.8,0.77,0,1.92,0.77,45.8,0.38,0,0,0.38,20,0,0.38,28.5,0.77,0,1.54,1.15,0,0,1.92,0,0,6.54,0.38,2.31,14.3
Jean-Daniel Akpa-Akpro,CIV,MF,Empoli,Serie A,30,1992,12,606,0,1.04,0.3,28.6,0,0,0,0,31.8,77.9,15.5,83.7,9.85,84.8,1.64,63.6,0,0.3,0.15,3.13,31.8,0.6,0,0,24.8,1.64,0,3.13,2.39,70,0.45,0.6,0.9,1.94,47,2.24,1.34,60,0.75,24.6,1.49,1.94,28.4,0.9,0.3,2.24,1.19,0,0.6,2.39,0,0,4.78,0.9,0.6,60
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,16,1030,0,0.53,0.09,16.7,0,0,0,0,47.8,78.7,14.7,86.3,23.4,88,7.72,48.9,0,0.44,0.18,4.3,47.8,0.53,2.02,0,37.6,0.7,0,3.16,1.93,73.7,0.44,0.61,1.14,2.37,60.6,1.32,0.35,26.7,0.88,31.8,0.96,0.96,35.2,0.53,0,1.49,0.7,0,0.53,1.93,0,0,6.05,2.46,1.93,56
David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,17,1365,1,0.59,0.07,11.1,0.11,0.26,0,0,56.8,8.83E+01,29.9,95.8,18.9,88.9,4.67,57.7,0.2,0.46,0.2,3.49,56.8,1.25,1.97,0.13,50.2,1.58,0.26,0.66,0.53,54.5,0.33,5.30E-01,0.72,1.64,61.8,0.13,0.07,50,0.07,38,0.72,1.18,44.6,0.2,0,0.46,0.13,0,1.25,0.53,0,0.07,4.67,0.33,0.39,45.5
Tomas Alarcon,CHI,MF,Cadiz,La Liga,24,1999,4,223,0,0.8,0.4,50,0,0,0,0,38,82.1,12.8,87.5,13.6,79.4,10,80,0,0.4,0,3.6,38,2.4,0,0.8,31.2,1.6,0,1.2,0.8,50,0.4,0,0.8,0.8,45.2,0,0,0,0,24.8,0.8,0,29.6,0.8,0.4,1.6,1.2,0,2.4,0.8,0,0,5.6,1.2,0.4,75
Lucas Alario,ARG,FW,Eint Frankfurt,Bundesliga,30,1992,12,248,1,3.21,0.71,22.2,0.11,0,0,0,21.1,69.5,11.1,71,6.07,76.5,1.43,100,0,0,0,1.79,21.1,0,0,0,14.6,2.5,0.71,1.07,0.71,0,0,0,0,3.57,33.2,2.86,1.79,62.5,1.07,15,0.71,2.14,23.6,0,0,2.14,0.71,1.43,0,0.71,0,0,2.86,3.93,5.71,40.7
Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,14,931,1,0.87,0.19,22.2,0.11,0,0,0,97,85.2,49.2,91.9,33.9,87.1,9.03,64.5,0.29,3.11,1.07,10.3,97,5.05,9.42,0,82.6,3.98,0.39,1.65,1.26,52.4,0.97,0.29,0.49,1.36,103.4,0.78,0.39,50,0.39,62.5,2.91,1.84,75.4,0.39,0.1,0.68,0.19,0.68,5.05,1.26,0,0,6.8,0.58,0.97,37.5
Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,19,1053,4,1.45,0.6,41.2,0.18,0.17,0.09,0.09,66.7,80,32.4,90.2,21.2,83.9,9.06,48.1,0.26,1.97,0,9.23,66.7,5.47,0.17,4.1,53.3,3.25,0.51,1.88,0.94,34.6,1.45,0.17,0.34,0.09,75,1.03,0.17,16.7,0.85,40.7,2.82,2.74,54.4,0.09,0,0.6,0.34,0.17,5.47,0.94,0,0,6.07,0.26,0.6,30
Raul Albiol,ESP,DF,Villarreal,La Liga,37,1985,17,1519,0,0.06,0,0,0,0,0,0,61.8,88.6,13.8,92.3,34.5,93.7,12.2,74.4,0,0.3,0,4.02,61.8,0.06,0,0,54.7,0.59,0,1.01,0.65,83.3,0.12,0.65,0.65,4.56,70.8,0.24,0.12,50,0.12,44.4,0.47,0.41,49.2,0.3,0,0.83,0.65,0,0.06,0.65,0,0,4.32,1.72,0.95,64.4
Marc Albrighton,ENG,FWMF,Leicester City,Premier League,33,1989,6,237,1,0.77,0.38,50,0.5,0,0,0,57.3,60.4,23.5,80.3,13.1,67.6,13.1,35.3,0,1.92,0.77,2.69,57.3,10.8,2.69,2.69,34.6,3.08,0,1.54,0.38,14.3,2.31,0.77,0.38,1.92,66.9,0.38,0.38,100,0,31.9,1.92,1.92,44.6,0,0,0.77,0.77,0.38,10.8,0.38,0,0,5.38,0.38,0.38,50
Thiago Alcantara,ESP,MF,Liverpool,Premier League,31,1991,14,1154,0,0.7,0.08,11.1,0,0,0,0,76.6,85.9,33.1,92.7,26.6,87.9,12,79.1,0,1.48,0,8.36,76.6,0.08,0.39,0,65.8,3.05,0.16,3.2,1.8,68.4,0.47,0.23,1.41,0.94,87.7,2.19,1.48,67.9,0.31,49.5,0.94,1.41,62.7,0.16,0,1.41,1.95,0,0.08,1.8,0,0.08,8.13,1.09,1.88,36.8
Carlos Alcaraz,ARG,MF,Southampton,Premier League,20,2002,3,134,1,2.67,0.67,25,0.25,0,0,0,32.7,75.5,16.7,76,9.33,100,4.67,28.6,0,0.67,0,4,32.7,0,0,0,24.7,2,0.67,1.33,1.33,50,0.67,1.33,0.67,0.67,46,2.67,1.33,50,1.33,33.3,2.67,4,30,0,0,1.33,0.67,0,0,1.33,0,0,10.7,0,1.33,0
Ruben Alcaraz,ESP,MF,C�diz,La Liga,31,1991,16,1008,1,1.52,0.18,11.8,0.06,0.18,0,0,41.3,78.6,16.1,83.9,14.6,89,7.95,58.4,0,0.45,0.18,3.57,41.3,1.16,0,0.27,32.5,1.88,0.18,2.5,1.7,44.8,1.43,0.18,0.8,1.52,51.6,0.71,0.27,37.5,0.36,27.3,1.16,0.8,30.3,0.54,0.09,1.96,1.79,0,1.16,1.7,0,0,6.79,1.52,1.34,53.1
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,8,630,0,0.71,0.14,20,0,0,0,0,44.9,63.1,13.3,74.2,18.6,83.8,11.6,23.5,0,0.43,0,4,44.9,0.29,0.71,0,28.3,0.86,0,1.29,0.29,54.5,0.71,0.43,0.86,4.29,56.1,1.14,0.57,50,0.57,27.4,0.57,0.29,30.9,0.43,0,1.14,0.86,0,0.29,0.29,0,0,5.43,3.14,1.71,64.7
