Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoFK,ShoPK,PKatt,PasTotAtt,PasTotCmp%,PasShoAtt,PasShoCmp%,PasMedAtt,PasMedCmp%,PasLonAtt,PasLonCmp%,Assists,PPA,CrsPA,PasProg,PasAtt,PasCrs,TI,CK,PasCmp,SCA,GCA,Tkl,TklWon,TklDri%,TklDriPast,BlkSh,Int,Clr,Touches,ToAtt,ToSuc,ToSuc%,ToTkl,Carries,CarProg,Car3rd,Rec,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Recov,AerWon,AerLost,AerWon%
Birger Meling,NOR,DF,Rennes,Ligue 1,28,1994,16,530,0,0,0,0,0,0,0,0,61.4,86.5,27.6,89,26.3,87.7,5.25,77.4,0,1.02,0.17,7.97,61.4,1.19,8.31,0,53.1,1.02,0.34,1.69,1.02,62.5,0.51,0.34,1.86,2.03,71.2,1.53,0.34,22.2,1.02,49.7,4.58,2.37,44.1,0.17,0.17,2.2,1.36,0.34,1.19,1.02,0,0,5.59,1.36,1.02,57.1
Memphis,NED,FW,Barcelona,La Liga,28,1994,2,114,1,4.62,2.31,50,0.17,0,0,0,50.8,80.3,29.2,89.5,12.3,87.5,5.38,42.9,0,1.54,0,5.38,50.8,3.08,0,3.08,40.8,6.15,0,1.54,0.77,0,0,0,0,0,65.4,5.38,1.54,28.6,2.31,38.5,1.54,1.54,53.1,0,0,1.54,1.54,0.77,3.08,0.77,0,0,5.38,0.77,1.54,33.3
Memphis,NED,FW,Atl�tico Madrid,La Liga,28,1994,2,22,0,5,0,0,0,0,0,0,90,83.3,65,76.9,20,100,0,0,0,10,0,25,90,5,0,5,75,15,0,0,0,0,5,0,0,0,125,5,0,0,5,90,10,5,115,5,0,5,0,0,5,0,0,0,0,0,0,0
Houboulang Mendes,FRA,DF,Almer�a,La Liga,24,1998,11,694,0,0.13,0,0,0,0,0,0,34.7,70.8,15.3,90.7,12.5,66.7,5.06,33.3,0.13,0.52,0.26,1.82,34.7,2.99,9.09,0,24.5,1.17,0.13,1.69,1.04,43.8,1.17,0.13,0.52,2.34,44.7,1.95,0.65,33.3,1.04,20.8,1.69,1.04,23.6,0.13,0,1.04,0.39,0,2.99,1.04,0,0.13,3.64,0.13,0.13,50
Nuno Mendes,POR,DFMF,Paris S-G,Ligue 1,20,2002,14,896,1,0.5,0.4,80,0.2,0,0,0,50.7,84.6,27.9,88.5,15.6,89.1,2.3,69.6,0.4,1.2,0.2,4.5,50.7,1.3,3.9,0,42.9,2.6,0.4,2.5,1.8,76.9,0.6,0.2,0.9,1,62.6,3.6,1.2,33.3,2.1,47.9,2.8,1.7,43.9,0.2,0,1.6,1.3,0.2,1.3,1.8,0,0,5,0.6,0.3,66.7
Thiago Mendes,BRA,DFMF,Lyon,Ligue 1,30,1992,20,1483,0,0.61,0.12,20,0,0.06,0,0,74.3,85.2,26.1,91.9,32.5,92.2,12.5,57.5,0.06,0.3,0,7.52,74.3,0.24,0.3,0,63.3,1.27,0.06,2.18,1.09,92.6,0.12,0.48,2.36,2.42,84.2,0.36,0.18,50,0.18,64.6,0.3,0.79,59.2,0.12,0,0.97,0.85,0,0.24,1.09,0,0.06,6.12,1.58,1.03,60.5
Antoine Mendy,FRA,DF,Nice,Ligue 1,18,2004,6,170,0,2.63,1.05,40,0,0,0,0,63.2,83.3,30.5,91.4,24.7,87.2,6.32,50,0.53,0.53,0,4.21,63.2,0.53,7.37,0,52.6,4.21,1.05,3.68,2.63,50,2.11,0,0.53,3.68,78.4,1.05,1.05,100,0,48.4,0,0,48.4,0,0,1.58,0,0.53,0.53,2.63,0,0,7.89,2.11,1.05,66.7
Arial Mendy,SEN,DF,Clermont Foot,Ligue 1,28,1994,5,223,0,0.8,0,0,0,0,0,0,48,68.3,22,76.4,18,71.1,5.6,50,0,1.6,0.8,2.8,48,4,6.8,0,32.8,2,0,1.6,0.8,100,0,0,1.6,1.6,58.8,2,0,0,0.8,36.8,2.4,1.6,32.4,0,0,0.4,2.8,0.4,4,0.8,0,0.4,5.6,2,1.6,55.6
Batista Mendy,FRA,MFDF,Angers,Ligue 1,23,2000,20,1622,0,0.33,0,0,0,0,0,0,44.9,85.6,17.6,88.3,20.2,90.9,5,65.6,0,0.56,0.11,6.39,44.9,0.28,0.06,0,38.4,1.17,0,2.22,0.94,74.2,0.44,0.22,0.78,1,53.8,1.22,0.56,45.5,0.44,41.7,0.61,1.28,37.3,0.44,0.06,2.28,1.28,0,0.28,0.94,0,0.06,6.22,1.06,0.56,65.5
Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9,765,0,0,0,0,0,0,0,0,31.5,79.5,8.12,100,10.4,98.9,12.6,49.5,0,0,0,0,31.5,0,0,0,25.1,0,0,0,0,0,0,0,0,0.35,33.6,0.12,0,0,0.12,18.8,0,0,17.4,0.12,0,0,0.24,0,0,0,0,0,1.65,0.24,0,100
